id,nama,email,no_hp,tanggal_daftar,status
1,lani hidayaT,lani6742@gmail.com,8813366421,2022-06-21,actve
2,ANI BASUKI,ani8539@gmail.com,8133399249,13/07/2023,INACTIVE
3,BUDI WIJAYA,budi156@gmail.com,8982078780,21-07-20,Active
4,Budi Santoso,budi156@gmail.com,8929083298,2021-03-12,active
5,Sari Hidayat,sari9639@hotmail.com,8484905574,05-12-23,Active
6,eko pratama,eko265@gmail.com,8417126762,22-08-23,inactive
7,putri siregar,putri8820@yahoo.com,8775438219,2022-02-19,Active
8,Sari Purnama,sari3947@hotmail.com,8122519459,01/02/2020,inactive
9,maya kusuma,maya9870@yahoo.com,8382609282,16-06-22,Active
10,maya mulyanI,maya6575@hotmail.com,8513213974,2022-08-28,aktive
11,Ratna Fauzi,ratna6646@gmail.com,8476609813,13-03-23,in-active
12,Guntur Purnama,guntur8993@gmail.com,8941550153,2023-06-12,banned
13,Sari Ramadhan,maya6575@hotmail.com,8503530780,27-04-22,active
14,Ratna Wati,ratna6074@gmail.com,8325460490,20/04/2020,inactive
15,EKO WATI,eko7810@hotmail.com,8848107006,13/02/2021,in-active
16,Agus Utami,agus6002@gmail.com,8333060920,2020-04-13,inactive
17,hendra muLyani,hendra8002@gmail.com,8999275472,29/04/2020,active
18,dedi nasution,dedi9687@hotmail.com,8953134782,2020-12-10,active
19,agus pratama,agus9949@hotmail.com,8279598578,06/07/2023,BANNED
20,Joko Saputra,joko5464@hotmail.com,8204091675,23-05-22,active
21,Hendra Lestari,hendra5361@yahoo.com,8879539711,15-02-22,active
22,dedi Hidayat,dedi2881@hotmail.com,8161862690,18/12/2023,actve
23,lani gunaWan,lani374@gmail.com,8749709284,2022-02-26,inactive
24,GUNTUR GUNAWAN,guntur8521@gmail.com,8366150664,2023-04-19,Active
25,hendra wijaya,hendra7625@yahoo.com,8725107439,2023-02-02,in-active
26,adit setIawan,adit4924@yahoo.com,8194904677,02/12/2021,inactive
27,Guntur Siregar,guntur8603@yahoo.com,8774973161,11-04-22,in-active
28,Dewi Ramadhan,dewi2826@yahoo.com,8518552431,2021-06-24,Active
29,hendra wati,eko265@gmail.com,8134614307,24-08-23,aktive
30,aNi mulyani,ani4349@hotmail.com,8996455588,02-10-22,actve
31,Indah Sari,indah9260@hotmail.com,8229335282,29-02-20,in-active
32,ratna setiawaN,ratna7876@yahoo.com,8848883137,2022-11-14,active
33,hendra ramadhan,hendra2778@hotmail.com,8233343854,2021-04-12,INACTIVE
34,sari wati,sari9717@yahoo.com,8665771397,11-07-22,inactive
35,joko siregar,joko2729@gmail.com,8744839955,20/05/2022,active
36,Rian Pratama,rian7798@gmail.com,8196223866,30-05-21,in-active
37,Eko Mulyani,eko5158@gmail.com,8977503257,24-07-21,banned
38,DEWI LESTARI,dewi3644@gmail.com,8707747423,2023-06-13,active
39,Dedi Sari,dedi6223@hotmail.com,8938301616,2023-02-04,inactive
40,Sari Fauzi,sari2661@gmail.com,8329150191,22/10/2021,active
41,LANI RAMADHAN,lani8498@yahoo.com,8339109502,07/04/2022,inactive
42,Eko Setiawan,eko4368@gmail.com,8499233334,14-10-20,INACTIVE
43,rian ramadhAn,rian7716@yahoo.com,8407260649,23-12-22,Active
44,Eko Basuki,eko8584@hotmail.com,8937963487,2021-01-28,aktive
45,ratna faUzi,ratna83@gmail.com,8738638926,2021-11-05,aktive
46,Dewi Sari,dewi2072@hotmail.com,8752167842,23/11/2021,aktive
47,Sari Kusuma,sari9664@hotmail.com,8493420513,21/12/2020,inactive
48,ani hidaYat,ani2789@gmail.com,8861423196,2022-04-16,Active
49,agus purnama,agus8203@yahoo.com,8211963147,03-08-20,in-active
50,rian purnama,rian5085@yahoo.com,8632824947,26/04/2023,active
51,ratna sari,ratna7983@yahoo.com,8894365986,2023-03-16,actve
52,Putri Lestari,putri5888@yahoo.com,8606440173,2020-12-31,inactive
53,DEWI WATI,dewi6997@gmail.com,8366208162,20-10-22,aktive
54,bUdi hidayat,budi2678@hotmail.com,8405257845,25/04/2021,BANNED
55,Bambang Fauzi,bambang5416@gmail.com,8788185472,15-06-22,actve
56,Bambang Basuki,bambang3571@gmail.com,8198410196,18/12/2022,in-active
57,GUNTUR MULYANI,guntur8172@gmail.com,8572234258,21/02/2022,actve
58,LANI SANTOSO,lani2059@yahoo.com,8166399522,2022-04-12,inactive
59,adit utami,adit1975@hotmail.com,8972541256,2020-03-14,aktive
60,Ratna Setiawan,ratna8687@yahoo.com,8397037942,2022-09-14,BANNED
61,lani hidaYat,lani6714@hotmail.com,8914443475,01/01/2020,Active
62,Joko Ramadhan,joko3106@hotmail.com,8304281294,04/06/2020,in-active
63,rian kusuma,rian2347@yahoo.com,8122806739,17/10/2020,Active
64,ANI SETIAWAN,ani4653@hotmail.com,8771570456,20-08-21,actve
65,ani pratama,ani2470@yahoo.com,8208458061,05/11/2022,inactive
66,Rian Wijaya,rian1231@hotmail.com,8237469646,12-02-21,inactive
67,ani setiawan,ani276@hotmail.com,8761202225,2020-10-23,INACTIVE
68,Guntur Siregar,guntur1899@yahoo.com,8241254071,15-04-21,BANNED
69,RATNA WATI,ratna9039@gmail.com,8171208261,2022-08-14,banned
70,PUTRI SAPUTRA,putri982@yahoo.com,8624081319,19-08-23,active
71,Rian Nasution,rian6766@hotmail.com,8862015702,29/04/2020,aktive
72,rian ramadhan,rian2516@gmail.com,8681673784,22-06-22,Active
73,AGUS SETIAWAN,eko4368@gmail.com,8741997633,2020-09-14,actve
74,JOKO SETIAWAN,joko5701@hotmail.com,8712224569,12/04/2020,aktive
75,siti nasutioN,siti5929@hotmail.com,8923211252,2021-02-20,aktive
76,Mega Purnama,mega2645@hotmail.com,8203804242,27/11/2020,active
77,Dewi Sari,dewi5813@gmail.com,8251546838,19-09-21,active
78,Indah Fauzi,indah3132@gmail.com,8264808318,07-11-21,INACTIVE
79,puTri sari,putri5353@gmail.com,8199047377,05/12/2023,banned
80,putRi wijaya,putri210@gmail.com,8648351045,09/08/2021,banned
81,ratna naSution,ratna8558@gmail.com,8412849328,2021-01-25,BANNED
82,eko lestari,eko9623@hotmail.com,8765376461,2020-11-29,BANNED
