id,nama,email,no_hp,tanggal_daftar,status
1,lani hidayaT,lani6742@gmail.com,8813366421,2022-06-21,actve
2,ANI BASUKI,ani8539@gmail.com,8133399249,13/07/2023,INACTIVE
3,BUDI WIJAYA,budi156@gmail.com,8982078780,21-07-20,Active
4,Budi Santoso,budi156@gmail.com,8929083298,2021-03-12,active
6,eko pratama,eko265@gmail.com,8417126762,22-08-23,inactive
11,Ratna Fauzi,ratna6646@gmail.com,8476609813,13-03-23,in-active
12,Guntur Purnama,guntur8993@gmail.com,8941550153,2023-06-12,banned
14,Ratna Wati,ratna6074@gmail.com,8325460490,20/04/2020,inactive
16,Agus Utami,agus6002@gmail.com,8333060920,2020-04-13,inactive
17,hendra muLyani,hendra8002@gmail.com,8999275472,29/04/2020,active
23,lani gunaWan,lani374@gmail.com,8749709284,2022-02-26,inactive
24,GUNTUR GUNAWAN,guntur8521@gmail.com,8366150664,2023-04-19,Active
29,hendra wati,eko265@gmail.com,8134614307,24-08-23,aktive
35,joko siregar,joko2729@gmail.com,8744839955,20/05/2022,active
36,Rian Pratama,rian7798@gmail.com,8196223866,30-05-21,in-active
37,Eko Mulyani,eko5158@gmail.com,8977503257,24-07-21,banned
38,DEWI LESTARI,dewi3644@gmail.com,8707747423,2023-06-13,active
40,Sari Fauzi,sari2661@gmail.com,8329150191,22/10/2021,active
42,Eko Setiawan,eko4368@gmail.com,8499233334,14-10-20,INACTIVE
45,ratna faUzi,ratna83@gmail.com,8738638926,2021-11-05,aktive
48,ani hidaYat,ani2789@gmail.com,8861423196,2022-04-16,Active
53,DEWI WATI,dewi6997@gmail.com,8366208162,20-10-22,aktive
55,Bambang Fauzi,bambang5416@gmail.com,8788185472,15-06-22,actve
56,Bambang Basuki,bambang3571@gmail.com,8198410196,18/12/2022,in-active
57,GUNTUR MULYANI,guntur8172@gmail.com,8572234258,21/02/2022,actve
69,RATNA WATI,ratna9039@gmail.com,8171208261,2022-08-14,banned
72,rian ramadhan,rian2516@gmail.com,8681673784,22-06-22,Active
73,AGUS SETIAWAN,eko4368@gmail.com,8741997633,2020-09-14,actve
77,Dewi Sari,dewi5813@gmail.com,8251546838,19-09-21,active
78,Indah Fauzi,indah3132@gmail.com,8264808318,07-11-21,INACTIVE
79,puTri sari,putri5353@gmail.com,8199047377,05/12/2023,banned
80,putRi wijaya,putri210@gmail.com,8648351045,09/08/2021,banned
81,ratna naSution,ratna8558@gmail.com,8412849328,2021-01-25,BANNED
86,Ratna Lestari,ratna517@gmail.com,8256740839,30-06-20,Active
89,Lani Purnama,lani6003@gmail.com,8463723809,04-11-20,in-active
91,Indah Pratama,guntur8993@gmail.com,8113671075,2023-01-30,actve
92,guntur saPutra,guntur6687@gmail.com,8319712391,24-05-20,in-active
95,lani mulyani,lani5629@gmail.com,8287807044,2022-08-28,actve
96,PUTRI FAUZI,putri7311@gmail.com,8709523719,02/04/2023,Active
100,DEDI WIJAYA,dedi9009@gmail.com,8469164713,2023-10-02,in-active
101,maya lestaRi,maya6863@gmail.com,8247740826,07/10/2020,inactive
103,buDi purnama,budi2857@gmail.com,8266970926,22/03/2021,BANNED
104,Sari Santoso,sari378@gmail.com,8418793211,14-03-20,inactive
105,Sari Hidayat,sari9189@gmail.com,8256815735,2020-07-12,banned
108,Ani Hartono,ani1139@gmail.com,8266579781,2021-12-29,active
109,Dedi Hartono,dedi5900@gmail.com,8177354708,21-01-22,actve
112,eko hArtono,eko948@gmail.com,8491103317,04-11-20,aktive
114,Mega Lestari,mega7565@gmail.com,8324090583,18/07/2021,actve
116,hendra leStari,hendra2226@gmail.com,8552726722,29/03/2022,BANNED
119,Putri Wijaya,putri2204@gmail.com,8263961094,2020-03-17,BANNED
121,Ani Gunawan,ani1872@gmail.com,8614553715,05-12-22,aktive
124,meGa wati,mega9268@gmail.com,8498521150,14-01-20,active
125,rian Basuki,rian1324@gmail.com,8488847192,2023-12-19,BANNED
127,ratna basuki,ratna9473@gmail.com,8938653610,30-07-20,inactive
130,Mega Utami,mega6603@gmail.com,8895676568,17/11/2023,INACTIVE
136,siti basuki,siti8581@gmail.com,8917103900,13-09-22,INACTIVE
139,ani kusuma,ani6734@gmail.com,8834924386,2022-04-16,banned
141,Hendra Gunawan,hendra1749@gmail.com,8865125560,2021-11-28,INACTIVE
148,Hendra Santoso,hendra6144@gmail.com,8119735089,05-12-22,Active
155,LANI SIREGAR,lani5352@gmail.com,8706715202,2021-10-01,actve
157,Hendra Kusuma,hendra1039@gmail.com,8393150594,04/06/2023,in-active
159,ADIT GUNAWAN,adit1005@gmail.com,8814433033,17/04/2021,inactive
162,rian hiDayat,rian1352@gmail.com,8128219146,09-08-21,aktive
164,joko fauzi,joko6700@gmail.com,8504908063,2022-06-16,BANNED
165,adit wijaya,adit3677@gmail.com,8836525077,27/10/2023,Active
168,mega hartono,mega9717@gmail.com,8794794908,2022-12-02,inactive
172,Adit Gunawan,adit2422@gmail.com,8345723792,2023-08-08,BANNED
173,bambang sapuTra,bambang565@gmail.com,8975810641,2020-12-12,inactive
175,Hendra Saputra,hendra2470@gmail.com,8474560040,04/03/2020,BANNED
181,putri ramadhan,putri1123@gmail.com,8891609453,10-09-22,BANNED
187,sari sEtiawan,sari8234@gmail.com,8203058661,10-12-20,active
193,maya mulYani,ani1872@gmail.com,8129546639,14/09/2023,BANNED
195,Lani Siregar,lani6739@gmail.com,8453632463,10-12-21,banned
196,SITI GUNAWAN,siti1127@gmail.com,8187579001,15-01-22,in-active
199,riAn ramadhan,rian286@gmail.com,8899886145,2021-08-09,BANNED
207,Dedi Hidayat,dedi9676@gmail.com,8687837297,2021-08-15,aktive
210,lani purnama,hendra6144@gmail.com,8472549633,2022-08-20,in-active
212,ani siregar,ani1823@gmail.com,8468436274,2021-02-19,in-active
213,ratna hartono,ratna6656@gmail.com,8766417771,01-03-20,aktive
218,Joko Gunawan,joko8924@gmail.com,8899938951,2023-03-09,actve
220,BAMBANG BASUKI,bambang8871@gmail.com,8396988584,02-11-21,inactive
222,MEGA BASUKI,mega7813@gmail.com,8717251033,2020-12-12,in-active
223,Sari Setiawan,sari201@gmail.com,8561501086,26/10/2020,Active
